iter	RMSE
0	0.950600778
1	0.917559019
2	0.8878563462
3	0.8577365971
4	0.8289624885
5	0.801321851
6	0.7751887565
7	0.751865274
8	0.7295730206
9	0.7080797428
10	0.6868654859
11	0.6672122379
12	0.6485303315
13	0.6314524765
14	0.6160127688
15	0.6019886778
16	0.5869445371
17	0.5742662367
18	0.5614594796
19	0.5489434464
20	0.5370056968
21	0.5256000788
22	0.5149840421
23	0.5051008236
24	0.4964569313
25	0.4874486113
26	0.4788831388
27	0.4721080464
28	0.4645712028
29	0.4577394595
30	0.4510139818
31	0.4447866589
32	0.4386753568
33	0.4330009239
34	0.4273510183
35	0.4223338026
36	0.4176059636
37	0.4131428489
38	0.409155306
39	0.4051424073
40	0.4010781143
41	0.3970925508
42	0.3936222386
43	0.390564805
44	0.3874968747
45	0.3844959634
46	0.3820429304
47	0.379159986
48	0.3765611457
49	0.3740841249
50	0.3716820942
51	0.3697868377
52	0.3676846537
53	0.3656245985
54	0.3636057923
55	0.3617993097
56	0.3599922189
57	0.3582758011
58	0.356905589
59	0.3556425731
60	0.3541431744
61	0.3528727371
62	0.3514552268
63	0.3502854504
64	0.3488869528
65	0.3477453092
66	0.3463798047
67	0.3451999488
68	0.3440871499
69	0.3429811444
70	0.3417437124
71	0.3408371724
72	0.3400820558
73	0.3392547308
74	0.3383797812
75	0.3376050104
76	0.3368662059
77	0.3357723545
78	0.3351011294
79	0.3340905373
80	0.3333085112
81	0.332537147
82	0.3318013687
83	0.3311011982
84	0.3304540468
85	0.3298473418
86	0.3291279822
87	0.3284789537
88	0.3276086269
89	0.3267233693
90	0.3257953104
91	0.3251807171
92	0.3246197606
93	0.3240315556
94	0.3235092671
95	0.3228813177
96	0.3223322509
97	0.3216376318
98	0.3210084306
99	0.3203141415
100	0.3197784279
101	0.3190478906
102	0.3184917904
103	0.3178815459
104	0.3174513743
105	0.3167823114
106	0.316414361
107	0.315936048
108	0.3152083115
109	0.3146424666
110	0.3140816438
111	0.313742099
112	0.3133694028
113	0.3130607995
114	0.3125834448
115	0.3121073957
116	0.3117157526
117	0.3110727117
118	0.3106927853
119	0.3102763182
120	0.3098341488
121	0.3094257292
122	0.3089363593
123	0.3086237567
124	0.3082214816
125	0.3076593009
126	0.3072867818
127	0.3069044667
128	0.3065107212
129	0.3058474432
130	0.305295886
131	0.3047374235
132	0.3043938132
133	0.3038972286
134	0.3035155108
135	0.3030064043
136	0.3023613508
137	0.3020651641
138	0.3017098645
139	0.3013442263
140	0.3009414141
141	0.3004816953
142	0.3002313166
143	0.2996374392
144	0.2993715299
145	0.2991084159
146	0.2988801115
147	0.2984949688
148	0.2979281873
149	0.2976489058
150	0.2973331329
151	0.2968123471
152	0.2964334608
153	0.2958654311
154	0.2954567711
155	0.2949097156
156	0.2946546773
157	0.294209406
158	0.293773424
159	0.2935057709
160	0.2932361316
161	0.2928343539
162	0.2923976615
163	0.2920592824
164	0.2916733039
165	0.2912293764
166	0.2907250599
167	0.2902850635
168	0.2899660951
169	0.2897096866
170	0.2893710882
171	0.2890008081
172	0.2885663155
173	0.2882131893
174	0.2878278566
175	0.2874750723
176	0.2870648293
177	0.2867590441
178	0.286449738
179	0.2861003014
180	0.2857184665
181	0.2853395791
182	0.2849946259
183	0.2846655421
184	0.2843059485
185	0.2840161879
186	0.2836802899
187	0.283365896
188	0.2830575158
189	0.2827823704
190	0.2824488896
191	0.2820090044
192	0.2817083844
193	0.2812486402
194	0.280742286
195	0.2804463549
196	0.2801435426
197	0.2797955581
198	0.2793033589
199	0.279027896
200	0.278589324
201	0.2782308926
202	0.2779470684
203	0.277687143
204	0.2772550122
205	0.2767900078
206	0.276489604
207	0.2762223283
208	0.2758831511
209	0.2756179562
210	0.2751352979
211	0.2748675851
212	0.2745483818
213	0.2741003955
214	0.2737650371
215	0.2733794882
216	0.2730001977
217	0.2725233802
218	0.2721856431
219	0.2717322941
220	0.2713426773
221	0.2710675536
222	0.2707626249
223	0.2704735383
224	0.2702228294
225	0.2699985874
226	0.2695337061
227	0.2691369227
228	0.2687951871
229	0.2685920065
230	0.2680952974
231	0.2678063644
232	0.2673506339
233	0.2670372061
234	0.2667991322
235	0.2662969802
236	0.2658783291
237	0.2656571707
238	0.2653791805
239	0.2650328019
240	0.2647479011
241	0.2644218234
242	0.2641056844
243	0.2637607551
244	0.2633657873
245	0.26294578
246	0.2624542491
247	0.2622075345
248	0.2617792795
249	0.2615294152
250	0.2611837846
251	0.2608219336
252	0.260491599
253	0.2600878354
254	0.2597503839
255	0.2593943103
256	0.2591973619
257	0.2588887843
258	0.2586503416
259	0.2583491165
260	0.2580979645
261	0.2577661817
262	0.2576221481
263	0.257254961
264	0.2568903979
265	0.2565429644
266	0.2561982448
267	0.2559538293
268	0.2555798573
269	0.255376889
270	0.2551547602
271	0.2549808031
272	0.2547144588
273	0.2544178636
274	0.2540438916
275	0.2536147195
276	0.2531306196
277	0.2528570265
278	0.2526048538
279	0.2523932297
280	0.2520375141
281	0.2517371461
282	0.2515326156
283	0.251340494
284	0.2509707695
285	0.2508450045
286	0.2505954763
287	0.2501436836
288	0.2497686521
289	0.2494293399
290	0.2491203839
291	0.2487007499
292	0.248447
293	0.2482031342
294	0.2478877477
295	0.2477280897
296	0.2476064343
297	0.2471793211
298	0.2467451186
299	0.2464643326
300	0.2461638514
301	0.24605727
302	0.2457124111
303	0.2453592209
304	0.244921082
305	0.2445984402
306	0.2442260203
307	0.2437888222
308	0.2435460389
309	0.2433431379
310	0.2429990032
311	0.2427577902
312	0.2423639384
313	0.2418496484
314	0.2415923337
315	0.2411827698
316	0.2408886294
317	0.2405653961
318	0.2403223743
319	0.2400734045
320	0.2397148752
321	0.2393063309
322	0.2390138752
323	0.2388925755
324	0.2384315992
325	0.2382120042
326	0.2379258706
327	0.2377180121
328	0.2374183691
329	0.2371667611
330	0.2369160592
331	0.2366789889
332	0.2362547501
333	0.2360521135
334	0.2357287013
335	0.2354403852
336	0.2350684099
337	0.2347595636
338	0.2346372306
339	0.2344214082
340	0.2341300197
341	0.2339298556
342	0.2337505694
343	0.2334708518
344	0.2331673997
345	0.2329543396
346	0.2326136601
347	0.2324261028
348	0.2320599675
349	0.2318031545
350	0.2314967057
351	0.2312215099
352	0.2309368608
353	0.2306978472
354	0.2302978559
355	0.2300959366
356	0.2297834817
357	0.2296129298
358	0.2292436933
359	0.2289943967
360	0.2286585703
361	0.2283668177
362	0.228117281
363	0.2278242295
364	0.2275632162
365	0.2273324619
366	0.2269228001
367	0.2265821611
368	0.2263413889
369	0.2260154194
370	0.2257701836
371	0.2255814429
372	0.2253531429
373	0.2251266987
374	0.2249755412
375	0.2247289966
376	0.2246521841
377	0.2244432674
378	0.2242156825
379	0.2238677092
380	0.2235717939
381	0.2234601992
382	0.2233083392
383	0.2230648122
384	0.2228534692
385	0.2226115356
386	0.2224573363
387	0.2222165961
388	0.2220024089
389	0.2217972756
390	0.2215369013
391	0.2212481806
392	0.2209922311
393	0.2208889267
394	0.2205520759
395	0.2202932564
396	0.2200326395
397	0.2197476716
398	0.2196469076
399	0.21948184
400	0.2192060365
401	0.2191298457
402	0.2188637797
403	0.21861554
404	0.2184586823
405	0.2181064364
406	0.2178586631
407	0.2174589687
408	0.2173137832
409	0.2171509521
410	0.2169183227
411	0.2166408775
412	0.2164360596
413	0.2162227759
414	0.2158869325
415	0.2157420967
416	0.2155016176
417	0.2152487477
418	0.2149340411
419	0.2147235002
420	0.2146114559
421	0.2144047313
422	0.2142237971
423	0.2140173586
424	0.2137012642
425	0.2135384006
426	0.2132700837
427	0.2129880224
428	0.2129368258
429	0.2126712018
430	0.2124818631
431	0.2122816255
432	0.2120882615
433	0.2118395292
434	0.2116437649
435	0.2115865184
436	0.2113351281
437	0.2112093955
438	0.2110446114
439	0.210889977
440	0.21065597
441	0.2103769314
442	0.210204679
443	0.209906136
444	0.2096772805
445	0.20939333
446	0.209134804
447	0.208940676
448	0.2085966229
449	0.2084451631
450	0.2081415286
451	0.207998097
452	0.2077916439
453	0.2076013676
454	0.2073639061
455	0.2072399612
456	0.2070209496
457	0.2068471466
458	0.2066191566
459	0.206445237
460	0.2061814676
461	0.2058579969
462	0.2057447953
463	0.2055070823
464	0.2052565003
465	0.2051629691
466	0.2049693644
467	0.2047576335
468	0.2045847184
469	0.2044303851
470	0.2042858062
471	0.2041161029
472	0.2037981165
473	0.2035281753
474	0.2033050194
475	0.2030957642
476	0.2028423792
477	0.2026895994
478	0.2023184746
479	0.2021232589
480	0.201931307
